,param,initial_state,intervention,agent,cumlative_risk,travel_time,request_time
228,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
229,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,15,12
230,param_2_8,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
231,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
232,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,23,12
233,param_2_9,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
234,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
235,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,23,14
236,param_2_10,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
237,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
238,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,15,12
239,param_2_11,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
240,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
241,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
242,param_2_12,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
243,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
244,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.0,15,12
245,param_2_13,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
246,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
247,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
248,param_2_14,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
249,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
250,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
251,param_2_15,"[0, 11.2, 0, -1, 0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
252,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[0, -1]",pomdp,0.5,15,0
253,param_2_1,"[0, 11.2, 0, -1, 0.25, 0.0]","[0, -1]",myopic,0.0,15,12
