,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
336,param_13_7,"[0.25, 0.5]","[0, 0]",0.0,-1,-1
337,param_13_7,"[0.5, 0.5]","[0, 0]",0.0,-1,0
338,param_13_7,"[0.75, 0.5]","[0, 0]",0.0,-1,0
339,param_13_7,"[1.0, 0.5]","[0, 0]",0.0,-1,0
340,param_13_7,"[0.0, 0.75]","[0, 0]",0.0,-2,-6
341,param_13_7,"[0.25, 0.75]","[0, 0]",0.0,-1,-1
342,param_13_7,"[0.5, 0.75]","[0, 0]",0.0,-1,0
343,param_13_7,"[0.75, 0.75]","[0, 0]",0.0,-1,0
344,param_13_7,"[1.0, 0.75]","[0, 0]",0.0,-1,0
345,param_13_7,"[0.0, 1.0]","[0, 0]",0.0,-2,-6
346,param_13_7,"[0.25, 1.0]","[0, 0]",0.0,-1,-1
347,param_13_7,"[0.5, 1.0]","[0, 0]",0.0,-1,0
348,param_13_7,"[0.75, 1.0]","[0, 0]",0.0,-1,0
349,param_13_7,"[1.0, 1.0]","[0, 0]",0.0,-1,0
350,param_13_8,"[0.0, 0.0]","[-1, -1]",0.0,-7,-12
351,param_13_8,"[0.25, 0.0]","[-1, -1]",0.0,-3,-7
352,param_13_8,"[0.5, 0.0]","[-1, -1]",0.0,0,-7
353,param_13_8,"[0.75, 0.0]","[-1, -1]",0.0,0,-7
354,param_13_8,"[1.0, 0.0]","[-1, -1]",0.0,0,-7
355,param_13_8,"[0.0, 0.25]","[-1, -1]",0.0,-4,-6
356,param_13_8,"[0.25, 0.25]","[-1, -1]",0.0,-3,-1
357,param_13_8,"[0.5, 0.25]","[-1, -1]",0.0,0,0
358,param_13_8,"[0.75, 0.25]","[-1, -1]",0.0,0,0
359,param_13_8,"[1.0, 0.25]","[-1, -1]",0.0,0,0
360,param_13_8,"[0.0, 0.5]","[-1, -1]",0.0,0,6
361,param_13_8,"[0.25, 0.5]","[-1, -1]",0.0,2,8
362,param_13_8,"[0.5, 0.5]","[-1, -1]",0.0,0,14
363,param_13_8,"[0.75, 0.5]","[-1, -1]",0.0,0,14
364,param_13_8,"[1.0, 0.5]","[-1, -1]",0.0,0,14
365,param_13_8,"[0.0, 0.75]","[-1, -1]",0.0,0,6
366,param_13_8,"[0.25, 0.75]","[-1, -1]",0.0,2,8
367,param_13_8,"[0.5, 0.75]","[-1, -1]",0.0,0,14
368,param_13_8,"[0.75, 0.75]","[-1, -1]",0.0,0,14
369,param_13_8,"[1.0, 0.75]","[-1, -1]",0.0,0,14
370,param_13_8,"[0.0, 1.0]","[-1, -1]",0.0,0,6
371,param_13_8,"[0.25, 1.0]","[-1, -1]",0.0,2,8
372,param_13_8,"[0.5, 1.0]","[-1, -1]",0.0,0,14
373,param_13_8,"[0.75, 1.0]","[-1, -1]",0.0,0,14
374,param_13_8,"[1.0, 1.0]","[-1, -1]",0.0,0,14
375,param_13_8,"[0.0, 0.0]","[0, 0]",0.0,0,-12
376,param_13_8,"[0.25, 0.0]","[0, 0]",0.0,0,-7
377,param_13_8,"[0.5, 0.0]","[0, 0]",0.0,-2,-7
