,param,scenario,agent,cumlative_risk,travel_time,request_time
345,param_7_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
346,param_7_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
347,param_7_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
348,param_7_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
349,param_7_12,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
350,param_7_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
351,param_7_13,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
352,param_7_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
353,param_7_13,"[0.0, 0.0][-1, -1]",myopic,0.5,15,12
354,param_7_13,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
355,param_7_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
356,param_7_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
