,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
200,param_2_6,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-2
201,param_2_7,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-2
202,param_2_8,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,0,-2
203,param_2_9,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,-4,3
204,param_2_10,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,-3,-5
205,param_2_11,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-2
206,param_2_12,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-7
207,param_2_13,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,-3,-3
208,param_2_14,"risk:[0.5, 0.25]","int:[-1, -1]",0.0,0,-7
209,param_2_15,"risk:[0.5, 0.25]","int:[-1, -1]",0.5,-3,-7
210,param_2_1,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
211,param_2_2,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-1,-7
212,param_2_3,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-2,-7
213,param_2_4,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-1,-7
214,param_2_6,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-1,-7
215,param_2_7,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-1,-7
216,param_2_8,"risk:[0.5, 0.25]","int:[0, 0]",0.5,-2,-7
217,param_2_9,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
218,param_2_10,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
219,param_2_11,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-2,-7
220,param_2_12,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
221,param_2_13,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-2,-7
222,param_2_14,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
223,param_2_15,"risk:[0.5, 0.25]","int:[0, 0]",0.0,-1,-7
224,param_2_1,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,-3,-1
225,param_2_2,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-2
226,param_2_3,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-2
227,param_2_4,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,0,-7
228,param_2_6,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-2
229,param_2_7,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-2
230,param_2_8,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,0,-2
231,param_2_9,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,-4,3
232,param_2_10,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,-3,-5
233,param_2_11,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-2
234,param_2_12,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-7
235,param_2_13,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,-3,-3
236,param_2_14,"risk:[0.75, 0.25]","int:[-1, -1]",0.0,0,-7
237,param_2_15,"risk:[0.75, 0.25]","int:[-1, -1]",0.5,-3,-7
238,param_2_1,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
239,param_2_2,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-1,-7
240,param_2_3,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-2,-7
241,param_2_4,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-1,-7
242,param_2_6,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-1,-7
243,param_2_7,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-1,-7
244,param_2_8,"risk:[0.75, 0.25]","int:[0, 0]",0.5,-2,-7
245,param_2_9,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
246,param_2_10,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
247,param_2_11,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-2,-7
248,param_2_12,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
249,param_2_13,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-2,-7
250,param_2_14,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
251,param_2_15,"risk:[0.75, 0.25]","int:[0, 0]",0.0,-1,-7
252,param_2_1,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,-3,-1
253,param_2_2,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-2
254,param_2_3,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-2
255,param_2_4,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,0,-7
256,param_2_6,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-2
257,param_2_7,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-2
258,param_2_8,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,0,-2
259,param_2_9,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,-4,3
260,param_2_10,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,-3,-5
261,param_2_11,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-2
262,param_2_12,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-7
263,param_2_13,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,-3,-3
264,param_2_14,"risk:[1.0, 0.25]","int:[-1, -1]",0.0,0,-7
265,param_2_15,"risk:[1.0, 0.25]","int:[-1, -1]",0.5,-3,-7
266,param_2_1,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
267,param_2_2,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-1,-7
268,param_2_3,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-2,-7
269,param_2_4,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-1,-7
270,param_2_6,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-1,-7
271,param_2_7,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-1,-7
272,param_2_8,"risk:[1.0, 0.25]","int:[0, 0]",0.5,-2,-7
273,param_2_9,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
274,param_2_10,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
275,param_2_11,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-2,-7
276,param_2_12,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
277,param_2_13,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-2,-7
278,param_2_14,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
279,param_2_15,"risk:[1.0, 0.25]","int:[0, 0]",0.0,-1,-7
